,Unnamed: 0,p1,p2,GT,pred_score,pred_label
0,0,C:\xvecs\test\2\F04_B2_UW52_M4_FSR.npy,C:\xvecs\avergae\vl.npy,0,-2.4464730588104775,0
1,1,C:\xvecs\test\2\F04_B2_UW52_M4_FSR.npy,C:\xvecs\avergae\lo.npy,0,-4.460018717127172,0
2,2,C:\xvecs\test\2\F04_B2_UW52_M4_FSR.npy,C:\xvecs\avergae\me.npy,1,2.0702920833271428,1
3,3,C:\xvecs\test\2\F04_B2_UW52_M4_FSR.npy,C:\xvecs\avergae\hi.npy,0,-2.1946205666329757,0
4,4,C:\xvecs\test\0\M04_B2_UW82_M5_FSR.npy,C:\xvecs\avergae\vl.npy,1,2.5409944191026845,1
5,5,C:\xvecs\test\0\M04_B2_UW82_M5_FSR.npy,C:\xvecs\avergae\lo.npy,0,-3.3754358434150085,0
6,6,C:\xvecs\test\0\M04_B2_UW82_M5_FSR.npy,C:\xvecs\avergae\me.npy,0,-3.785824427044325,0
7,7,C:\xvecs\test\0\M04_B2_UW82_M5_FSR.npy,C:\xvecs\avergae\hi.npy,0,-4.7011489254700685,0
8,8,C:\xvecs\test\0\F03_B2_UW1_M5_FSR.npy,C:\xvecs\avergae\vl.npy,1,2.2272387307242525,1
9,9,C:\xvecs\test\0\F03_B2_UW1_M5_FSR.npy,C:\xvecs\avergae\lo.npy,0,-10.662444763408931,0
10,10,C:\xvecs\test\0\F03_B2_UW1_M5_FSR.npy,C:\xvecs\avergae\me.npy,0,-9.079383482009444,0
11,11,C:\xvecs\test\0\F03_B2_UW1_M5_FSR.npy,C:\xvecs\avergae\hi.npy,0,-9.185474551698036,0
12,12,C:\xvecs\test\3\F05_B2_UW39_M4_FSR.npy,C:\xvecs\avergae\vl.npy,0,-7.102800564771671,0
13,13,C:\xvecs\test\3\F05_B2_UW39_M4_FSR.npy,C:\xvecs\avergae\lo.npy,0,-7.853099990778409,0
14,14,C:\xvecs\test\3\F05_B2_UW39_M4_FSR.npy,C:\xvecs\avergae\me.npy,0,-6.295447268430102,0
15,15,C:\xvecs\test\3\F05_B2_UW39_M4_FSR.npy,C:\xvecs\avergae\hi.npy,1,2.421108503285465,1
16,16,C:\xvecs\test\0\F03_B2_UW34_M4_FSR.npy,C:\xvecs\avergae\vl.npy,1,-0.44623221844833694,0
17,17,C:\xvecs\test\0\F03_B2_UW34_M4_FSR.npy,C:\xvecs\avergae\lo.npy,0,-19.119310436628247,0
18,18,C:\xvecs\test\0\F03_B2_UW34_M4_FSR.npy,C:\xvecs\avergae\me.npy,0,-14.919186206356187,0
19,19,C:\xvecs\test\0\F03_B2_UW34_M4_FSR.npy,C:\xvecs\avergae\hi.npy,0,-16.907829248136053,0
20,20,C:\xvecs\test\0\F03_B2_UW64_M4_FSR.npy,C:\xvecs\avergae\vl.npy,1,2.359981296050794,1
21,21,C:\xvecs\test\0\F03_B2_UW64_M4_FSR.npy,C:\xvecs\avergae\lo.npy,0,-4.408392961084006,0
22,22,C:\xvecs\test\0\F03_B2_UW64_M4_FSR.npy,C:\xvecs\avergae\me.npy,0,-2.971079416245413,0
23,23,C:\xvecs\test\0\F03_B2_UW64_M4_FSR.npy,C:\xvecs\avergae\hi.npy,0,-2.70279476854771,0
24,24,C:\xvecs\test\0\F03_B2_UW9_M5_FSR.npy,C:\xvecs\avergae\vl.npy,1,2.441463369122747,1
